┌─────────┬──────────────────────────────┬─────────┐
| (index) │             tag              │  freq   │
│   58    │           'editor'           │   346   │
│   59    │         'elevation'          │  61904  │
│   60    │          'emphasis'          │ 4053855 │
│   61    │          'epithet'           │   337   │
│   62    │        'epithetLabel'        │    7    │
│   63    │        'femaleSymbol'        │   18    │
│   64    │       'figureCitation'       │ 711532  │
│   65    │          'footnote'          │   448   │
│   66    │       'geoCoordinate'        │ 519399  │
│   67    │     'geoCoordinateGone'      │   23    │
│   68    │             'h2'             │    1    │
│   69    │          'heading'           │ 172020  │
│   70    │          'httpUri'           │   157   │
│   71    │          'journal'           │    1    │
│   72    │     'journalOrPublisher'     │  3520   │
│   73    │            'key'             │  1705   │
│   74    │          'keyLead'           │  98227  │
│   75    │          'keyStep'           │  49972  │
│   76    │          'location'          │ 178498  │
│   77    │     'locationDeviation'      │  5072   │
│   78    │         'maleSymbol'         │    9    │
│   79    │      'materialCitation'      │    1    │
│   80    │     'materialsCitation'      │ 227721  │
│   81    │   'materialsCitationGroup'   │   258   │
│   82    │  'materialsCitationHidden'   │   25    │
│   83    │      'mcCollectionCode'      │  6924   │
│   84    │        'misspelling'         │  1338   │
│   85    │   'mods\\:classification'    │ 289291  │
│   86    │        'mods\\:date'         │ 284802  │
│   87    │     'mods\\:dateIssued'      │  4489   │
│   88    │      'mods\\:dateOther'      │    2    │
│   89    │       'mods\\:detail'        │ 440016  │
│   90    │         'mods\\:end'         │ 284217  │
│   91    │       'mods\\:extent'        │ 284217  │
│   92    │     'mods\\:identifier'      │ 936310  │
│   93    │      'mods\\:location'       │ 115435  │
│   94    │        'mods\\:mods'         │ 289291  │
│   95    │        'mods\\:name'         │ 1766922 │
│   96    │      'mods\\:namePart'       │ 1766922 │
│   97    │       'mods\\:number'        │ 439628  │
│   98    │     'mods\\:originInfo'      │  4489   │
│   99    │        'mods\\:part'         │ 287447  │
│   100   │        'mods\\:place'        │  4134   │
│   101   │      'mods\\:placeTerm'      │  4134   │
│   102   │      'mods\\:publisher'      │  4487   │
│   103   │     'mods\\:relatedItem'     │ 287447  │
│   104   │        'mods\\:role'         │ 1766922 │
│   105   │      'mods\\:roleTerm'       │ 1766922 │
│   106   │        'mods\\:start'        │ 284217  │
│   107   │        'mods\\:title'        │ 577126  │
│   108   │      'mods\\:titleInfo'      │ 576738  │
│   109   │   'mods\\:typeOfResource'    │ 289291  │
│   110   │         'mods\\:url'         │ 115435  │
│   111   │       'named-content'        │   181   │
│   112   │      'newEpithetLabel'       │    9    │
│   113   │        'nomenclature'        │    1    │
│   114   │          'nonAscii'          │   18    │
│   115   │      'normalizedToken'       │ 373770  │
│   116   │           'number'           │ 5544298 │
│   117   │            'page'            │    4    │
│   118   │         'pageBorder'         │   13    │
│   119   │       'pageBreakToken'       │  42565  │
│   120   │         'pageNumber'         │   143   │
│   121   │       'pageStartToken'       │  3473   │
│   122   │         'pageTitle'          │   209   │
│   123   │         'pagination'         │  3211   │
│   124   │         'paragraph'          │ 2700375 │
│   125   │        'parenthesis'         │    5    │
│   126   │            'part'            │  3118   │
│   127   │           'person'           │   22    │
│   128   │           'plant'            │   22    │
│   129   │     'potCollectionCode'      │  1004   │
│   130   │       'publicationUrl'       │   24    │
│   131   │         'publisher'          │    1    │
│   132   │          'quantity'          │ 543869  │
│   133   │           'quote'            │   89    │
│   134   │           'region'           │    2    │
│   135   │         'soilLayer'          │    2    │
│   136   │            'span'            │   63    │
│   137   │        'specimenCode'        │  56913  │
│   138   │       'specimenCount'        │ 363589  │
│   139   │        'specimenType'        │  31441  │
│   140   │           'status'           │    1    │
│   141   │            'sub'             │   329   │
│   142   │         'subScript'          │  6029   │
│   143   │         'subSection'         │  4943   │
│   144   │       'subSubSection'        │ 1173903 │
│   145   │       'subsubsection'        │    5    │
│   146   │            'sup'             │   361   │
│   147   │        'superScript'         │  3498   │
│   148   │          't_e_m_p'           │   53    │
